DATA,CFCT,NC-R,NC-I,NC-C,TEMP-MAX,I-PLUV,PNT-TOT,IMR-TOT,IV-CVA,PFI-IG
05/01/2023,778653.711966131,2497481.47241217,4140.96847098625,181799.600060346,27.8004934859283,8.86451287659336,217568.785326779,3418911528.5598,108.846915369351,131.528609705216
06/01/2023,801771.986118047,2503667.10497715,4144.47969770913,182111.783660968,27.667455458565,5.46409236795465,310754.769512013,3467982248.29973,107.457744809127,122.131766913967
07/01/2023,817866.280325769,2509868.05779603,4147.99390168557,182424.50333868,27.6148488587321,4.05456021764385,180689.368922293,3411142593.01036,111.491462474963,135.410743899725
08/01/2023,829538.325065168,2516084.3688132,4151.51108544004,182737.760014025,28.196752565176,2.58555634806793,157330.757534715,3487618691.73615,113.928431516829,132.83040600138
09/01/2023,849810.570507215,2522316.07606705,4155.03125149918,183051.554609127,28.5732581316592,2.78002559973532,155743.390166561,3456035336.81957,109.627298136669,131.035013997136
10/01/2023,855495.97593723,2528563.21769018,4158.55440239175,183365.888047696,28.5324496268985,3.04414011884594,171340.105826319,3488883238.84178,114.974969741531,137.029789085435
11/01/2023,844317.278916858,2534825.83190964,4162.08054064867,183680.761255024,28.491254945399,3.81386082834553,130543.957096666,3578961104.26645,115.052826596459,135.345427201013
12/01/2023,852518.62874948,2541103.95704716,4165.60966880299,183996.175157995,27.955029351073,7.4611783203473,205165.857475997,3433009906.15355,151.291425129707,137.624998216379
01/01/2024,772470.591678987,2548170.26170815,4169.00517092737,184331.032491436,27.3774762910208,10.5127410172535,157534.258800981,3467065020.03577,107.017723294985,126.888392684651
02/01/2024,751789.092985978,2555256.21635686,4172.40344081821,184666.499236641,27.0933072009614,14.3910225472521,110664.994422645,3419990304.17701,98.2411565278372,117.730402347515
03/01/2024,766209.310137666,2562361.875636,4175.80448073157,185002.576502688,27.2992652302922,15.573667280929,263883.733386821,3530832365.68818,110.01231048254,126.601123133199
04/01/2024,779182.574885479,2569487.29434023,4179.20829292539,185339.265400672,27.4591600679231,13.1476173718739,128854.300065955,3550862624.91791,104.049250098406,119.967303591104
05/01/2024,809223.322613314,2576632.52741658,4182.61487965942,185676.567043712,27.8540086335382,9.08747891106559,213617.35678674,3582348332.59101,113.686833428081,136.047703950723
06/01/2024,834244.447307199,2583797.62996488,4186.02424319526,186014.482546952,27.7086727438805,5.37023570239504,302626.149962778,3633398704.65674,112.235892888815,126.328001986256
07/01/2024,851005.43628605,2590982.65723818,4189.43638579637,186353.013027564,27.6357597126879,3.84219904613195,174034.813817281,3574238827.39695,116.448971291779,140.06322152348
08/01/2024,864500.475491628,2598187.66464317,4192.85130972803,186692.159604755,28.219156717078,2.63203172554432,150398.093965618,3653871428.50225,118.994301056908,137.394227703248
09/01/2024,885498.583496062,2605412.70774063,4196.26901725738,187031.923399768,28.6103139627634,2.72337994878338,140849.528919349,3621030534.90218,114.501916201692,135.537149152685
10/01/2024,892289.002281104,2612657.84224582,4199.68951065342,187372.305535886,28.5471149718494,3.18260312022696,164727.003409529,3655631314.50381,120.087373988042,141.737894285565
11/01/2024,881414.057943166,2619923.12402897,4203.11279218696,187713.307138438,28.5157521388991,3.83514633504057,122503.132733056,3750028221.94873,120.168692776613,139.995660656613
12/01/2024,890232.744395557,2627208.60911565,4206.53886413072,188054.9293348,27.9672113837781,7.46863422732365,192697.081229541,3597435827.05796,158.018653899871,142.353553766928
01/01/2025,805976.113331998,2634255.61338531,4209.66549520058,188353.68949837,27.3558174077558,10.5932184495532,150161.118370165,3608780995.92083,111.192392121552,130.756932769077
02/01/2025,783887.654118947,2641321.51994884,4212.79445022896,188652.924297917,27.0669474613615,14.6045098159966,102194.34044364,3559867247.12038,102.073459075632,121.319736020997
03/01/2025,797985.096943281,2648406.37950817,4215.92573094321,188952.63448749,27.2916768518982,15.6707067285919,252894.661234541,3674634607.90902,114.303795565288,130.460905018776
04/01/2025,811391.374443506,2655510.24290122,4219.05933907197,189252.820822334,27.4747961655319,13.1312738656933,121086.636287418,3695355410.92763,108.108121352994,123.624835323862
05/01/2025,842108.473742961,2662633.16110228,4222.19527634515,189553.484058893,27.914607275864,8.95729292617493,208493.965724228,3727873147.37935,118.121658472855,140.19549071823
06/01/2025,867324.207026392,2669775.18522238,4225.33354449396,189854.624954816,27.7461572843483,5.48921746562628,292686.323599903,3780754443.20447,116.614117998065,130.179457025835
07/01/2025,884650.137246737,2676936.36650963,4228.47414525088,190156.244268952,27.7003699403774,3.71183096400923,166220.594967394,3719454654.56531,120.991544945655,144.333432339091
08/01/2025,897953.837227802,2684116.75634962,4231.6170803497,190458.342761358,28.2595352814754,2.41752988479474,142392.785828242,3801990881.96109,123.636165823477,141.583066934271
09/01/2025,919506.4518368,2691316.40626575,4234.76235152549,190760.921193297,28.6785180786558,2.70306278921477,124450.117327868,3767983255.68737,118.968536920503,139.669370259222
10/01/2025,925337.711564711,2698535.36791964,4237.90996051459,191063.980327242,28.5937089649689,3.20531523408278,156997.507020602,3804110768.73969,124.77187858426,146.059162085754
11/01/2025,913466.912434257,2705773.69311147,4241.05990905465,191367.520926878,28.5961101908506,3.78208576791712,113445.84818261,3902350949.81829,124.85636954844,144.263811694209
12/01/2025,922471.412974186,2713031.43378039,4244.21219888463,191671.543757102,27.9990301517262,7.5666559524531,178640.115398854,3743782618.40485,164.182824918848,146.693591632145
01/01/2026,833846.810918725,2720452.50651754,4247.20339865505,191951.470972923,27.4058229189502,10.6967576658715,146513.809171472,3749793586.56368,115.173364307913,134.309531913316
02/01/2026,811000.499178754,2727893.87843732,4250.19670653781,192231.807009191,27.1028331130423,14.3227853414372,97511.5163985821,3699031759.68,105.72795012302,124.615931344947
03/01/2026,824994.356961351,2735355.60506497,4253.19212401863,192512.552462968,27.3311511243044,15.9010547786974,247662.435381904,3817834146.689,118.396163957215,134.005461240088
04/01/2026,838967.64030509,2742837.74207761,4256.1896525843,192793.707932191,27.5184764217151,13.0513589227839,116984.204945561,3839269427.55081,111.978668752996,126.983659019686
05/01/2026,870502.59595922,2750340.34530466,4259.18929372266,193075.274015665,27.973504269805,9.01282277340964,206689.159658611,3872868486.92122,122.350716127028,144.004530665896
06/01/2026,896354.382150297,2757863.47072822,4262.19104892259,193357.251313076,27.7892798350641,5.46065355342676,288401.580432874,3927626208.11779,120.789201845347,133.716366448788
07/01/2026,913940.482174117,2765407.17448357,4265.194919674,193639.64042498,27.7562969023894,3.62507975777305,162404.668032293,3864137740.27234,125.323351879775,148.254898049199
08/01/2026,926992.640744725,2772971.51285951,4268.2009074679,193922.441952814,28.3264724818625,2.45135946537443,138288.148725947,3949638175.09956,128.062656952776,145.429806619712
09/01/2026,949121.119473423,2780556.54229881,4271.2090137963,194205.656498891,28.772249934153,2.49846683221266,114869.85183484,3914432118.88294,123.227914990317,143.464115782472
10/01/2026,955321.857096813,2788162.31939863,4274.21924015229,194489.284666405,28.6468321020453,3.29346463429524,153170.967158745,3952054790.42293,129.239031136757,150.027514992521
11/01/2026,942508.429118291,2795788.90091096,4277.23158803001,194773.327059431,28.6079914473734,3.94029182376492,108467.958380987,4054122412.17653,129.326547093673,148.18338584692
12/01/2026,951498.526510014,2803436.343743,4280.24605892464,195057.784282925,28.0001169235738,7.73929589202668,170932.410747587,3889552040.022,170.060990205244,150.679181665968
01/01/2027,861293.267202336,2811482.52256863,4283.21657915917,195341.177722836,27.3997461735498,10.8118638475107,142902.255384264,3898501643.20299,119.588734917094,137.568657247814
02/01/2027,837948.413818957,2819551.79483594,4286.18916095519,195624.982896337,27.0896233959619,14.7464362017595,92797.4670964303,3845792415.86654,109.781214402894,127.639833916438
03/01/2027,852337.535377027,2827644.2268257,4289.16380574345,195909.200401624,27.366407310653,16.104983713547,242513.412608229,3968839135.29333,122.935086178666,137.25720806302
